labels,predictions
3.3 inch,100. 0 gram
72.0 inch,10. 0 millimetre
4.5 kilogram,10. 0 millimetre
15.0 inch,100. 0 gram
26.9 centimetre,12. 0 volt
260.0 millimetre,6. 0 centimetre
70.0 centimetre,10. 0 centimetre
14 gram,500. 0 milligram
2.8 inch,10. 0 millimetre
708.0 gram,6. 0 centimetre
58.0 centimetre,10. 0 centimetre
4.5 watt,"[ 220. 0, 240. 0 ] volt"
8.0 inch,6. 0 centimetre
188.0 millimetre,6. 0 centimetre
45.0 centimetre,5. 0 gram
660.0 watt,500. 0 milligram
2.71 inch,6. 0 centimetre
55.0 gram,500. 0 milligram
650.0 gram,6. 0 centimetre
405.0 gram,6. 0 centimetre
10.6 centimetre,10. 0 centimetre
80.0 centimetre,6. 0 centimetre
3.52 ounce,10. 0 gram
10.0 gram,6. 0 centimetre
22.0 centimetre,6. 0 centimetre
10.12 inch,5. 0 centimetre
500.0 gram,5. 0 volt
6.6 centimetre,10. 0 centimetre
15.0 centimetre,6. 0 centimetre
19.0 inch,100. 0 gram
340.0 gram,100. 0 gram
159.8 millimetre,6. 0 centimetre
2.75 gram,500. 0 milligram
600.0 milligram,100. 0 gram
10.0 gram,6. 0 centimetre
30.0 centimetre,10. 0 centimetre
7.0 centimetre,10. 0 centimetre
100.0 gram,500. 0 milligram
400.0 ounce,10. 0 kilogram
500.0 gram,100. 0 gram
100.0 watt,12. 0 volt
120.0 gram,100. 0 gram
13.0 centimetre,10. 0 centimetre
26.0 inch,10. 0 kilogram
11.8 inch,12. 0 volt
20.5 centimetre,12. 0 centimetre
6700.0 milligram,5. 0 volt
200 gram,100. 0 gram
120.0 centimetre,6. 0 centimetre
21.0 centimetre,8. 0 centimetre
5.9 centimetre,8. 0 centimetre
10.2 inch,6. 0 centimetre
250.0 millilitre,100. 0 gram
31.0 centimetre,5. 0 volt
40.0 centimetre,5. 0 gram
8.0 pound,500. 0 milligram
9.7 centimetre,12. 0 centimetre
10.5 centimetre,"[ 220. 0, 240. 0 ] volt"
6.5 inch,12. 0 centimetre
500.0 gram,10. 0 centimetre
324.0 millimetre,6. 0 centimetre
2.0 pound,500. 0 milligram
8.0 inch,100. 0 gram
98.0 centimetre,12. 0 volt
3.5 centimetre,6. 0 centimetre
65.0 centimetre,12. 0 centimetre
17.0 inch,"[ 220. 0, 240. 0 ] volt"
1.37 inch,10. 0 centimetre
120.0 gram,100. 0 gram
35.0 watt,12. 0 centimetre
48.0 centimetre,6. 0 centimetre
269.0 centimetre,6. 0 centimetre
100.0 gram,100. 0 gram
24.0 inch,10. 0 centimetre
50.0 millimetre,10. 0 centimetre
6.0 inch,500. 0 milligram
300.0 milligram,100. 0 gram
30.0 centimetre,12. 0 volt
82.6 inch,6. 0 centimetre
60.0 centimetre,6. 0 centimetre
157 gram,100. 0 gram
3.5 inch,6. 0 centimetre
50.0 centimetre,6. 0 centimetre
4.0 ounce,"[ 220. 0, 240. 0 ] volt"
230.0 millimetre,12. 0 volt
2.47 ounce,200. 0 millilitre
220.0 volt,10. 0 millimetre
700.0 microgram,100. 0 gram
0.82 inch,6. 0 centimetre
36.0 volt,5. 0 volt
50.0 centimetre,6. 0 centimetre
22.0 centimetre,6. 0 centimetre
32.0 centimetre,6. 0 centimetre
140.0 centimetre,6. 0 centimetre
31.7 gram,500. 0 milligram
12.8 inch,5. 0 centimetre
10.582 ounce,100. 0 gram
4.0 fluid ounce,500. 0 milligram
12.6 inch,10. 0 centimetre
8.0 centimetre,6. 0 centimetre
200 gram,6. 0 centimetre
16.5 centimetre,6. 0 centimetre
25 gram,100. 0 gram
14.5 centimetre,100. 0 gram
12 kilogram to 25 kilogram,100. 0 gram
1.8 inch,100. 0 gram
65.5 centimetre,6. 0 centimetre
27.6 inch,10. 0 centimetre
57.3 centimetre,10. 0 millimetre
665.0 gram,10. 0 gram
2.0 gram,100. 0 gram
4.0 gram,100. 0 gram
3.5 inch,6. 0 centimetre
2.68 metre,6. 0 centimetre
2.0 inch,6. 0 centimetre
20.5 centimetre,6. 0 centimetre
22.5 centimetre,10. 0 centimetre
190.0 ton,6. 0 centimetre
2.0 millilitre,12. 0 volt
48.0 volt,12. 0 centimetre
3.0 gram,12. 0 centimetre
7.0 centimetre,6. 0 centimetre
1000 gram,100. 0 gram
1000.0 milligram,10. 0 kilogram
14.0 quart,"[ 220. 0, 240. 0 ] volt"
12.0 watt,12. 0 volt
14.0 centimetre,6. 0 centimetre
100.0 gram,500. 0 milligram
51310.0 gram,5. 0 volt
150.0 gram,100. 0 gram
80.0 centimetre,12. 0 centimetre
770.0 gram,10. 0 centimetre
8.5 inch,10. 0 centimetre
6.75 inch,6. 0 centimetre
60.96 centimetre,6. 0 centimetre
4.7 inch,10. 0 centimetre
3.0 ton,100. 0 gram
17.0 pound,100. 0 gram
200.0 centimetre,100. 0 gram
250.0 millilitre,5. 0 volt
7.0 ounce,12. 0 centimetre
246.0 centimetre,6. 0 centimetre
9.4 inch,6. 0 centimetre
16.0 inch,100. 0 gram
437.0 millimetre,6. 0 centimetre
150.0 centimetre,6. 0 centimetre
160.0 centimetre,5. 0 volt
1.0 centimetre,10. 0 millimetre
76.0 millimetre,6. 0 centimetre
260.0 gram,10. 0 centimetre
16.0 inch,12. 0 volt
0.7 millilitre,100. 0 gram
142.0 gram,100. 0 gram
30.0 centimetre,6. 0 centimetre
42.0 millimetre,6. 0 centimetre
285.0 millimetre,12. 0 volt
14.0 centimetre,5. 0 centimetre
3.0 gram,5. 0 volt
8.6 inch,10. 0 millimetre
39.2 inch,6. 0 centimetre
35.0 centimetre,6. 0 centimetre
69.0 watt,100. 0 gram
129.0 gram,5. 0 volt
2.0 gram,5. 0 volt
18.5 gram,6. 0 centimetre
20.0 volt,10. 0 kilogram
1.06 ounce,10. 0 centimetre
23.8 centimetre,500. 0 milligram
4.5 centimetre,12. 0 centimetre
150.0 gram,6. 0 centimetre
3000.0 gram,"[ 220. 0, 240. 0 ] volt"
1.3 kilogram,12. 0 centimetre
14.0 metre,10. 0 centimetre
317.0 millimetre,6. 0 centimetre
34.0 centimetre,6. 0 centimetre
20624.0 watt,10. 0 millimetre
13.0 centimetre,6. 0 centimetre
125.0 gram,500. 0 milligram
4.0 kilogram,5. 0 volt
313.0 gram,100. 0 gram
70.0 millimetre,10. 0 centimetre
120.0 kilogram,10. 0 centimetre
5.0 inch,6. 0 centimetre
21.0 centimetre,6. 0 centimetre
1 pound,100. 0 gram
0.7 kilogram,5. 0 gram
60.0 quart,100. 0 gram
33.0 centimetre,6. 0 centimetre
24.01 inch,6. 0 centimetre
10.0 kilogram,500. 0 milligram
9.5 inch,12. 0 centimetre
230.0 volt,12. 0 volt
4.0 inch,10. 0 centimetre
40.0 watt,10. 0 centimetre
75 gram,100. 0 gram
76.0 millimetre,500. 0 milligram
2.36 inch,6. 0 centimetre
180.0 gram,8. 0 centimetre
1.2 inch,6. 0 centimetre
31.0 volt,5. 0 volt
24.0 volt,100. 0 gram
10.0 kilogram,5. 0 gram
220.0 gram,6. 0 centimetre
1.5 kilogram,12. 0 centimetre
37.0 gram,100. 0 gram
3.81 centimetre,6. 0 centimetre
1000.0 gram,200. 0 millilitre
32.0 centimetre,5. 0 centimetre
4.0 gram,5. 0 volt
28.0 centimetre,10. 0 centimetre
30.0 ton,100. 0 gram
14.7 inch,6. 0 centimetre
85.0 centimetre,200. 0 millilitre
18.0 inch,500. 0 milligram
51.5 centimetre,6. 0 centimetre
130.0 millimetre,6. 0 centimetre
35.0 gram,10. 0 centimetre
220.0 gram,"[ 220. 0, 240. 0 ] volt"
800 milligram,100. 0 gram
50 gram,100. 0 gram
20.0 watt,10. 0 centimetre
8.0 inch,"[ 220. 0, 240. 0 ] volt"
150.0 millimetre,100. 0 gram
21.5 centimetre,10. 0 centimetre
3.0 pound,"[ 220. 0, 240. 0 ] volt"
120.0 volt,6. 0 centimetre
48.0 centimetre,12. 0 volt
3.0 kilogram,100. 0 gram
7.5 centimetre,6. 0 centimetre
20.0 kilogram,500. 0 milligram
1.0 inch,6. 0 centimetre
150.0 kilogram,5. 0 gram
3.5 gram,6. 0 centimetre
5 gram,12. 0 volt
4.0 gram,10. 0 centimetre
19.6 inch,10. 0 centimetre
2.13 inch,10. 0 centimetre
230.0 volt,100. 0 gram
25.0 millimetre,6. 0 centimetre
1.0 pint,"[ 220. 0, 240. 0 ] volt"
100.0 gram,100. 0 gram
80.0 gram,100. 0 gram
105 kilogram,10. 0 centimetre
4.0 inch,10. 0 centimetre
35.0 millimetre,12. 0 centimetre
6.0 fluid ounce,500. 0 milligram
14.5 centimetre,10. 0 millimetre
20.0 gram,500. 0 milligram
10 gram,100. 0 gram
21.2 ounce,5. 0 volt
16.2 centimetre,6. 0 centimetre
100.0 gram,100. 0 gram
7.0 ounce,10. 0 kilogram
300.0 centimetre,8. 0 centimetre
68.0 inch,10. 0 gram
5.0 gram,100. 0 gram
12.5 centimetre,6. 0 centimetre
100.0 milligram,100. 0 gram
108.0 millimetre,12. 0 centimetre
70.0 kilogram,5. 0 volt
11.4 inch,5. 0 volt
"[110.0, 240.0] volt","[ 220. 0, 240. 0 ] volt"
38.0 centimetre,6. 0 centimetre
1000 gram,100. 0 gram
5.0 foot,6. 0 centimetre
9.2 inch,6. 0 centimetre
24.0 centimetre,10. 0 centimetre
45.0 gram,12. 0 centimetre
250 gram,5. 0 gram
13.0 centimetre,6. 0 centimetre
95.0 centimetre,6. 0 centimetre
30.0 inch,"[ 220. 0, 240. 0 ] volt"
6.9 centimetre,10. 0 centimetre
140.0 millimetre,10. 0 millimetre
11.5 inch,10. 0 millimetre
200.0 pound,6. 0 centimetre
11.25 kilogram,12. 0 volt
60.0 watt,"[ 220. 0, 240. 0 ] volt"
50.0 ton,"[ 220. 0, 240. 0 ] volt"
10.0 millilitre,6. 0 centimetre
180.0 centimetre,100. 0 gram
15.0 centimetre,6. 0 centimetre
42.0 millimetre,5. 0 centimetre
23.6 centimetre,12. 0 centimetre
"[85.0, 265.0] volt",6. 0 centimetre
7.8 gram,500. 0 milligram
9.2 foot,6. 0 centimetre
20.0 centimetre,100. 0 gram
12.0 ounce,10. 0 centimetre
100.0 gram,12. 0 volt
5.3 inch,8. 0 centimetre
11.8 centimetre,12. 0 centimetre
130.0 gram,6. 0 centimetre
10.0 watt,12. 0 centimetre
87.0 gram,10. 0 centimetre
9.0 gram,6. 0 centimetre
"[220.0, 240.0] volt",100. 0 gram
4.5 ounce,100. 0 gram
169.7 gram,6. 0 centimetre
112.0 kilogram,5. 0 gram
24.0 cubic inch,6. 0 centimetre
4.0 inch,6. 0 centimetre
170.0 millimetre,10. 0 centimetre
0.29 kilogram,6. 0 centimetre
75 gram,500. 0 milligram
2.2 pound,100. 0 gram
2.17 inch,6. 0 centimetre
280.0 gram,100. 0 gram
7.5 centimetre,6. 0 centimetre
270 gram,12. 0 centimetre
18.0 inch,6. 0 centimetre
200.0 centimetre,6. 0 centimetre
12.0 inch,6. 0 centimetre
177.0 gram,100. 0 gram
16.0 inch,6. 0 centimetre
500.0 milligram,500. 0 milligram
130.0 centimetre,6. 0 centimetre
175.0 millimetre,12. 0 centimetre
16.5 inch,6. 0 centimetre
70.0 millimetre,10. 0 millimetre
0.24 kilogram,12. 0 centimetre
"[2000.0, 2006.0] gram",10. 0 centimetre
1000.0 milligram,10. 0 centimetre
14.57 inch,12. 0 volt
16.0 millimetre,6. 0 centimetre
220.0 centimetre,10. 0 centimetre
28.3 inch,6. 0 centimetre
25.0 gram,500. 0 milligram
38.0 centimetre,10. 0 centimetre
220.0 volt,10. 0 kilogram
21.0 ounce,200. 0 millilitre
24.0 watt,500. 0 milligram
165.0 gram,200. 0 millilitre
38.0 millimetre,5. 0 volt
44.0 gram,100. 0 gram
20.0 millimetre,10. 0 millimetre
120.0 volt,100. 0 gram
5.0 centimetre,5. 0 centimetre
11 gram,10. 0 millimetre
8.5 centimetre,12. 0 centimetre
16.0 centimetre,10. 0 centimetre
33.0 inch,100. 0 gram
17.0 centimetre,5. 0 centimetre
3.4 inch,6. 0 centimetre
29.7 centimetre,10. 0 millimetre
2.4 gram,100. 0 gram
80 gram,100. 0 gram
16.0 centimetre,6. 0 centimetre
81.0 milligram,500. 0 milligram
35.0 inch,100. 0 gram
50.0 gram,5. 0 centimetre
120.0 centimetre,12. 0 centimetre
240.0 millimetre,10. 0 centimetre
900 pound,12. 0 volt
230.0 volt,10. 0 centimetre
11.0 centimetre,10. 0 gram
5.0 foot,12. 0 centimetre
115.0 centimetre,6. 0 centimetre
0.8 ton,5. 0 gram
27.0 inch,6. 0 centimetre
12.0 inch,5. 0 volt
27.0 centimetre,8. 0 centimetre
1.76 inch,6. 0 centimetre
365.0 gram,5. 0 centimetre
73.0 watt,10. 0 centimetre
10.1 inch,6. 0 centimetre
2.0 fluid ounce,100. 0 gram
9.0 centimetre,6. 0 centimetre
127.0 millimetre,12. 0 volt
9.5 gram,10. 0 centimetre
1 kilogram,100. 0 gram
15.0 centimetre,6. 0 centimetre
32.5 gram,100. 0 gram
10.16 millimetre,6. 0 centimetre
17.0 centimetre,6. 0 centimetre
130.0 millimetre,6. 0 centimetre
19.5 centimetre,200. 0 millilitre
24.0 inch,10. 0 centimetre
"[50.0, 90.0] pound",6. 0 centimetre
2.7 gram,10. 0 centimetre
500.0 gram,100. 0 gram
8.5 centimetre,12. 0 centimetre
20.0 inch,10. 0 centimetre
11.0 centimetre,10. 0 millimetre
50 kilogram,10. 0 kilogram
300 gram,100. 0 gram
8.2 inch,6. 0 centimetre
16.0 inch,10. 0 centimetre
200.0 gram,100. 0 gram
100 gram,100. 0 gram
10.0 centimetre,10. 0 centimetre
60.0 centimetre,6. 0 centimetre
18.5 inch,10. 0 centimetre
1.0 ounce,10. 0 centimetre
120.0 kilogram,"[ 220. 0, 240. 0 ] volt"
6.0 inch,6. 0 centimetre
81.5 inch,12. 0 centimetre
132.2 pound,12. 0 centimetre
120.0 volt,6. 0 centimetre
100.0 gram,100. 0 gram
50.0 millimetre,6. 0 centimetre
14.9 inch,10. 0 centimetre
"[5.0, 13.0] kilogram","[ 220. 0, 240. 0 ] volt"
7.5 inch,6. 0 centimetre
18.0 centimetre,5. 0 centimetre
5.0 inch,10. 0 centimetre
2000.0 milligram,100. 0 gram
22.2 millimetre,500. 0 milligram
4.5 inch,10. 0 centimetre
40.0 centimetre,8. 0 gram
50.0 centimetre,10. 0 millimetre
2.8 centimetre,6. 0 centimetre
35.0 centimetre,12. 0 centimetre
36 kilogram,10. 0 centimetre
12.5 centimetre,6. 0 centimetre
300.0 millilitre,100. 0 gram
2.8 gram,100. 0 gram
3.07 inch,8. 0 centimetre
10.0 gram,100. 0 gram
15.0 gram,500. 0 milligram
30.0 centimetre,6. 0 centimetre
393.7 inch,6. 0 centimetre
66.0 centimetre,6. 0 centimetre
5.0 centimetre,6. 0 centimetre
74.0 gram,100. 0 gram
50.0 gram,100. 0 gram
50 gram,100. 0 gram
25.5 centimetre,6. 0 centimetre
15.0 inch,10. 0 millimetre
8.27 inch,6. 0 centimetre
18.0 centimetre,10. 0 millimetre
18.0 centimetre,6. 0 centimetre
0.5 ounce,100. 0 gram
45.3 inch,10. 0 millimetre
1.5 gram,100. 0 gram
8.8 ounce,5. 0 volt
17.5 inch,10. 0 centimetre
300 gram,12. 0 volt
29.5 inch,10. 0 millimetre
5.0 centimetre,6. 0 centimetre
25.0 centimetre,10. 0 millimetre
22.5 centimetre,6. 0 centimetre
250.0 millilitre,100. 0 gram
150.0 centimetre,6. 0 centimetre
8.5 inch,10. 0 millimetre
22.0 inch,6. 0 centimetre
65.6 gram,12. 0 centimetre
75.0 gram,10. 0 centimetre
3875.0 milligram,100. 0 gram
8.27 inch,10. 0 millimetre
210.0 watt,12. 0 centimetre
0.34 kilogram,12. 0 centimetre
5.3 gram,6. 0 centimetre
40.0 pound,100. 0 gram
18.0 kilogram,100. 0 gram
30.0 centimetre,6. 0 centimetre
82.3 inch,6. 0 centimetre
120.0 volt,100. 0 gram
6.6 inch,5. 0 gram
50.0 centimetre,6. 0 centimetre
25.0 milligram,5. 0 gram
18.0 pound,6. 0 centimetre
190.0 centimetre,10. 0 centimetre
20.3 gram,10. 0 centimetre
10.0 kilogram,10. 0 centimetre
165.0 millimetre,12. 0 volt
9.5 inch,6. 0 centimetre
25.0 centimetre,6. 0 centimetre
500.0 milligram,10. 0 centimetre
7.5 inch,500. 0 milligram
2.36 inch,12. 0 centimetre
22.0 gram,100. 0 gram
4 kilogram,100. 0 millilitre
2.5 pound,12. 0 volt
190.0 millimetre,6. 0 centimetre
235.0 millimetre,6. 0 centimetre
16.0 centimetre,6. 0 centimetre
30 gram,100. 0 gram
500.0 gram,100. 0 gram
3.94 inch,10. 0 centimetre
45.0 millimetre,6. 0 centimetre
200.0 gram,100. 0 gram
500 milligram,100. 0 gram
24.0 ounce,10. 0 centimetre
50.0 gram,12. 0 volt
40.0 centimetre,5. 0 centimetre
55.0 millimetre,6. 0 centimetre
355.0 millimetre,10. 0 millimetre
15.0 centimetre,6. 0 centimetre
12.0 ounce,100. 0 gram
140.0 centimetre,12. 0 centimetre
12.0 centimetre,5. 0 centimetre
4.5 kilogram,100. 0 gram
10.6 inch,12. 0 volt
200 gram,6. 0 centimetre
3.0 watt,100. 0 gram
16.0 centimetre,6. 0 centimetre
152.4 centimetre,6. 0 centimetre
70.0 centimetre,6. 0 centimetre
224.0 gram,500. 0 milligram
17.4 centimetre,10. 0 centimetre
1.0 metre,10. 0 millimetre
7.6 gram,6. 0 centimetre
1.7 centimetre,6. 0 centimetre
45.6 centimetre,12. 0 volt
300 gram,100. 0 gram
1 kilogram,5. 0 gram
3.0 centimetre,10. 0 centimetre
170.0 gram,10. 0 centimetre
30.0 millimetre,10. 0 millimetre
97.0 centimetre,6. 0 centimetre
22.0 centimetre,6. 0 centimetre
5.0 foot,12. 0 centimetre
0 gram,100. 0 gram
12.0 gram,10. 0 centimetre
20.0 centimetre,6. 0 centimetre
46.0 centimetre,6. 0 centimetre
1.0 watt,500. 0 milligram
"[5.5, 12.0] volt",6. 0 centimetre
0.5 metre,6. 0 centimetre
3.7 gram,10. 0 millimetre
12.5 centimetre,10. 0 millimetre
"[200.0, 240.0] volt",10. 0 centimetre
250.0 gram,10. 0 centimetre
1850 gram,10. 0 centimetre
2.0 gram,10. 0 centimetre
20.0 centimetre,6. 0 centimetre
500.0 gram,500. 0 milligram
0.58 pound,100. 0 gram
14.0 centimetre,100. 0 gram
41.0 centimetre,6. 0 centimetre
73.0 millimetre,6. 0 centimetre
14.56 inch,10. 0 centimetre
4 kilogram,100. 0 gram
10.0 watt,10. 0 kilogram
23.0 centimetre,6. 0 centimetre
40.0 centimetre,10. 0 centimetre
100.0 gram,100. 0 gram
15.0 centimetre,10. 0 centimetre
4.0 centimetre,6. 0 centimetre
9 gram,100. 0 millilitre
14.8 centimetre,6. 0 centimetre
116.0 gram,10. 0 gram
106.0 millimetre,5. 0 gram
9.0 centimetre,500. 0 milligram
15.8 gram,6. 0 centimetre
25.0 kilogram,10. 0 centimetre
50.4 gram,100. 0 gram
67.5 centimetre,6. 0 centimetre
300.0 gram,100. 0 gram
7.2 centimetre,6. 0 centimetre
2800.0 millilitre,5. 0 gram
86.46 inch,8. 0 centimetre
605.0 millimetre,6. 0 centimetre
1.76 fluid ounce,100. 0 gram
240.0 gram,6. 0 centimetre
2.0 kilogram,10. 0 centimetre
57.0 gram,100. 0 gram
5.0 millilitre,10. 0 centimetre
240.0 watt,6. 0 centimetre
1600.0 millimetre,12. 0 centimetre
33.0 cubic inch,12. 0 volt
101.6 centimetre,6. 0 centimetre
20.0 milligram,100. 0 gram
10.0 centimetre,8. 0 centimetre
12.4 inch,6. 0 centimetre
350 gram,10. 0 kilogram
16.0 fluid ounce,500. 0 milligram
5.0 centimetre,6. 0 centimetre
40.0 centimetre,12. 0 centimetre
25.0 millimetre,6. 0 centimetre
34.5 inch,6. 0 centimetre
130.0 millimetre,12. 0 centimetre
20.0 watt,5. 0 volt
9.5 gram,100. 0 gram
85.0 gram,10. 0 kilogram
3.8 inch,6. 0 centimetre
250 milligram,10. 0 kilogram
4.0 fluid ounce,100. 0 gram
17.0 inch,100. 0 gram
48.0 volt,500. 0 milligram
5.0 volt,"[ 220. 0, 240. 0 ] volt"
182.0 millimetre,12. 0 volt
350.0 gram,5. 0 volt
9.05 inch,6. 0 centimetre
1.0 ounce,10. 0 centimetre
4.0 inch,10. 0 centimetre
44.5 gram,100. 0 gram
24.0 watt,12. 0 centimetre
60 gram,10. 0 centimetre
350.0 gram,100. 0 gram
31.0 centimetre,12. 0 centimetre
15.0 centimetre,12. 0 centimetre
12.0 gram,10. 0 centimetre
5.9 inch,9. 0 centimetre
793.0 gram,100. 0 gram
120.0 inch,6. 0 centimetre
100 gram,10. 0 centimetre
16.0 inch,6. 0 centimetre
25.0 millimetre,6. 0 centimetre
10.0 gram,500. 0 milligram
34.0 gram,6. 0 centimetre
3.4 gram,10. 0 centimetre
47.2 inch,6. 0 centimetre
3.5 inch,6. 0 centimetre
400 gram,100. 0 gram
27.0 centimetre,12. 0 centimetre
1.0 gram,100. 0 gram
