labels,predictions
129.0 gram,10 lbs
2.0 gram,100 lbs
18.5 gram,15 cm
20.0 volt,0
1.06 ounce,10 lbs
23.8 centimetre,10 feet
4.5 centimetre,12 inches
150.0 gram,10 lbs
3000.0 gram,10 lbs
1.3 kilogram,2 tons
14.0 metre,6 inches
317.0 millimetre,6 inches
34.0 centimetre,10 feet
20624.0 watt,10. 5
13.0 centimetre,6 inches
125.0 gram,10 oz
4.0 kilogram,4. 5 kg
313.0 gram,1. 5 lbs
70.0 millimetre,6 inches
120.0 kilogram,100 pounds
5.0 inch,5 feet
21.0 centimetre,12 inches
1 pound,100 lbs
0.7 kilogram,10 lbs
60.0 quart,10 oz
33.0 centimetre,3 feet
24.01 inch,12 inches
10.0 kilogram,10 oz
9.5 inch,8 feet
230.0 volt,0
4.0 inch,6 inches
40.0 watt,2000
75 gram,1. 5 lbs
76.0 millimetre,6 inches
2.36 inch,10 inches
180.0 gram,1. 5 lbs
1.2 inch,6 inches
31.0 volt,10 volt
24.0 volt,2. 5
10.0 kilogram,10 lbs
220.0 gram,300 lbs
1.5 kilogram,10 lbs
37.0 gram,10 pounds
3.81 centimetre,6 inches
1000.0 gram,10 oz
32.0 centimetre,6 inches
4.0 gram,40 lbs
28.0 centimetre,6 inches
30.0 ton,30 lbs
14.7 inch,10 inches
85.0 centimetre,10 feet
18.0 inch,8 inches
51.5 centimetre,6 inches
130.0 millimetre,10 feet
35.0 gram,100 lbs
220.0 gram,200 lbs
800 milligram,5 pounds
50 gram,1. 5 lbs
20.0 watt,20 mpg
8.0 inch,12 inches
150.0 millimetre,15 inches
21.5 centimetre,10 inches
3.0 pound,10 lbs
120.0 volt,1. 5
48.0 centimetre,4 feet
3.0 kilogram,100 lbs
7.5 centimetre,6 inches
20.0 kilogram,10 lbs
1.0 inch,6 feet
150.0 kilogram,150 lbs
3.5 gram,5 pounds
5 gram,10 lbs
4.0 gram,10 lbs
19.6 inch,6 inches
2.13 inch,10x10 inches
230.0 volt,0
25.0 millimetre,6 inches
1.0 pint,2
100.0 gram,0
80.0 gram,10 lbs
105 kilogram,100 lbs
4.0 inch,6 inches
35.0 millimetre,6 inches
6.0 fluid ounce,1. 5
14.5 centimetre,6 inches
20.0 gram,10 lbs
10 gram,10 lbs
21.2 ounce,200 lbs
16.2 centimetre,6 inches
100.0 gram,1. 5 lbs
7.0 ounce,0
300.0 centimetre,6 inches
68.0 inch,6 inches
5.0 gram,1. 5 kg
12.5 centimetre,10 feet
100.0 milligram,100 lbs
108.0 millimetre,10 inches
70.0 kilogram,200 lbs
11.4 inch,12 inches
"[110.0, 240.0] volt",100w
38.0 centimetre,6 inches
1000 gram,10 lbs
5.0 foot,6 inches
9.2 inch,6 inches
24.0 centimetre,10 feet
45.0 gram,10 lbs
250 gram,10 oz
13.0 centimetre,6 feet
95.0 centimetre,12 inches
30.0 inch,10 inches
6.9 centimetre,6 inches
140.0 millimetre,6 inches
11.5 inch,6 inches
200.0 pound,200 lbs
11.25 kilogram,100 lbs
60.0 watt,120v
50.0 ton,200 lbs
10.0 millilitre,10 oz
180.0 centimetre,10 feet
15.0 centimetre,6 inches
42.0 millimetre,10 feet
23.6 centimetre,6 inches
"[85.0, 265.0] volt",1. 5
7.8 gram,10 oz
9.2 foot,10 feet
20.0 centimetre,12 inches
12.0 ounce,10 lbs
100.0 gram,10 lbs
5.3 inch,10 inches
11.8 centimetre,12 inches
130.0 gram,10 pounds
10.0 watt,10. 5
87.0 gram,10 inches
9.0 gram,100 pounds
"[220.0, 240.0] volt",1. 5
4.5 ounce,10 oz
169.7 gram,12 ounces
112.0 kilogram,200 lbs
24.0 cubic inch,25
4.0 inch,6 inches
170.0 millimetre,10 inches
0.29 kilogram,12 inches
75 gram,10 lbs
2.2 pound,100 lbs
2.17 inch,6 inches
280.0 gram,10 oz
7.5 centimetre,6 inches
270 gram,200 lbs
18.0 inch,6 inches
200.0 centimetre,6 inches
12.0 inch,6 inches
177.0 gram,1 pound
16.0 inch,3 feet
500.0 milligram,100 pounds
130.0 centimetre,10 inches
175.0 millimetre,4 feet
16.5 inch,6 inches
70.0 millimetre,10 inches
0.24 kilogram,10 lbs
"[2000.0, 2006.0] gram",100 lbs
1000.0 milligram,10 oz
14.57 inch,10 inches
16.0 millimetre,6 inches
220.0 centimetre,6 inches
28.3 inch,6 inches
25.0 gram,10 lbs
38.0 centimetre,6 inches
220.0 volt,0
21.0 ounce,10 oz
24.0 watt,18 inches
165.0 gram,10 pounds
38.0 millimetre,3 feet
44.0 gram,10 lbs
20.0 millimetre,6 inches
120.0 volt,12 volt
5.0 centimetre,6 inches
11 gram,11 inches
8.5 centimetre,6 inches
16.0 centimetre,6 inches
33.0 inch,10 feet
17.0 centimetre,10 inches
3.4 inch,6 inches
29.7 centimetre,6 inches
2.4 gram,10 lbs
80 gram,10 lbs
16.0 centimetre,12 inches
81.0 milligram,80 lbs
35.0 inch,10 inches
50.0 gram,500 lbs
120.0 centimetre,10 inches
240.0 millimetre,6 feet
900 pound,100 lbs
230.0 volt,400w
11.0 centimetre,6 inches
5.0 foot,12 inches
115.0 centimetre,6 inches
0.8 ton,10 lbs
27.0 inch,5 feet
12.0 inch,6 inches
27.0 centimetre,12 inches
1.76 inch,6 inches
365.0 gram,100 lbs
73.0 watt,10. 5
10.1 inch,6 inches
2.0 fluid ounce,2
9.0 centimetre,12 inches
127.0 millimetre,10 feet
9.5 gram,100 pounds
1 kilogram,100 lbs
15.0 centimetre,6 inches
32.5 gram,3. 5 kg
10.16 millimetre,10 feet
17.0 centimetre,6 inches
130.0 millimetre,6 inches
19.5 centimetre,6 inches
24.0 inch,10 feet
"[50.0, 90.0] pound",200 lbs
2.7 gram,10 lbs
500.0 gram,1. 5 lbs
8.5 centimetre,6 inches
20.0 inch,10 inches
11.0 centimetre,6 inches
50 kilogram,500 lbs
300 gram,100 lbs
8.2 inch,6 inches
16.0 inch,10 inches
200.0 gram,10 oz
100 gram,1. 5 kg
10.0 centimetre,10 inches
60.0 centimetre,10 feet
18.5 inch,6 inches
1.0 ounce,10 lbs
120.0 kilogram,200 lbs
6.0 inch,6 inches
81.5 inch,6 inches
132.2 pound,3. 5 feet
120.0 volt,1. 5
100.0 gram,10 lbs
50.0 millimetre,2 feet
14.9 inch,12 inches
"[5.0, 13.0] kilogram",10 lbs
7.5 inch,12 inches
18.0 centimetre,10 feet
5.0 inch,6 inches
2000.0 milligram,60 lbs
22.2 millimetre,6 inches
4.5 inch,4 feet
40.0 centimetre,6 inches
50.0 centimetre,6 inches
2.8 centimetre,3 inches
35.0 centimetre,6 inches
36 kilogram,10 lbs
12.5 centimetre,10 inches
300.0 millilitre,10
2.8 gram,25 pounds
3.07 inch,6 inches
10.0 gram,20 lbs
15.0 gram,1. 5 lbs
30.0 centimetre,3 feet
393.7 inch,6 inches
66.0 centimetre,6 inches
5.0 centimetre,1 foot
74.0 gram,6 oz
50.0 gram,500 lbs
50 gram,100 lbs
25.5 centimetre,10 feet
15.0 inch,10 feet
8.27 inch,6 inches
18.0 centimetre,3 feet
18.0 centimetre,10 inches
0.5 ounce,100 lbs
45.3 inch,10 feet
1.5 gram,0
8.8 ounce,100 lbs
17.5 inch,6 inches
300 gram,10 lbs
29.5 inch,10 feet
5.0 centimetre,10 inches
25.0 centimetre,6 inches
22.5 centimetre,10 inches
250.0 millilitre,10 oz
150.0 centimetre,10 inches
8.5 inch,6 inches
22.0 inch,10 feet
65.6 gram,100 lbs
75.0 gram,10 oz
3875.0 milligram,100 lbs
8.27 inch,6 inches
210.0 watt,10. 5
0.34 kilogram,10 oz
5.3 gram,30 cm
40.0 pound,100 lbs
18.0 kilogram,10 lbs
30.0 centimetre,10 feet
82.3 inch,6 feet
120.0 volt,100
6.6 inch,6 inches
50.0 centimetre,10 inches
25.0 milligram,10 lbs
18.0 pound,25 pounds
190.0 centimetre,10 feet
20.3 gram,10 pounds
10.0 kilogram,500 ml
165.0 millimetre,6 inches
9.5 inch,10 inches
25.0 centimetre,6 inches
500.0 milligram,10 lbs
7.5 inch,6 inches
2.36 inch,3 feet
22.0 gram,100 pounds
4 kilogram,10 lbs
2.5 pound,1000 lbs
190.0 millimetre,6 inches
235.0 millimetre,6 inches
16.0 centimetre,6 inches
30 gram,6 ounces
500.0 gram,300 lbs
3.94 inch,12 inches
45.0 millimetre,12 inches
200.0 gram,10 oz
500 milligram,100 lbs
24.0 ounce,10 lbs
50.0 gram,0
40.0 centimetre,6 inches
55.0 millimetre,3 feet
355.0 millimetre,10 feet
15.0 centimetre,10 inches
12.0 ounce,10 lbs
140.0 centimetre,10 inches
12.0 centimetre,6 feet
4.5 kilogram,10 lbs
10.6 inch,6 inches
200 gram,10 oz
3.0 watt,15. 5
16.0 centimetre,10 feet
152.4 centimetre,10 feet
70.0 centimetre,6 inches
224.0 gram,5 lbs
17.4 centimetre,12 inches
1.0 metre,6 inches
7.6 gram,60 lbs
1.7 centimetre,6 inches
45.6 centimetre,10 feet
300 gram,10 lbs
1 kilogram,10 lbs
3.0 centimetre,10 inches
170.0 gram,10 oz
30.0 millimetre,6 inches
97.0 centimetre,12 inches
22.0 centimetre,12 inches
5.0 foot,6 inches
0 gram,10 lbs
12.0 gram,10 pounds
20.0 centimetre,10 inches
46.0 centimetre,10 inches
1.0 watt,1. 5
"[5.5, 12.0] volt",1. 5
0.5 metre,10 feet
3.7 gram,25 cm
12.5 centimetre,6 inches
"[200.0, 240.0] volt",100 %
250.0 gram,10 lbs
1850 gram,100 lbs
2.0 gram,200 pounds
20.0 centimetre,6 inches
500.0 gram,10 lbs
0.58 pound,1. 5 lbs
14.0 centimetre,12 inches
41.0 centimetre,12 inches
73.0 millimetre,10 feet
14.56 inch,12 inches
4 kilogram,10 lbs
10.0 watt,25 mpg
23.0 centimetre,10 feet
40.0 centimetre,6 inches
100.0 gram,100 lbs
15.0 centimetre,6 inches
4.0 centimetre,6 inches
9 gram,1. 5 lbs
14.8 centimetre,6 inches
116.0 gram,12 ounces
106.0 millimetre,10 inches
9.0 centimetre,12 inches
15.8 gram,100 pounds
25.0 kilogram,25 pounds
50.4 gram,5 pounds
67.5 centimetre,10 feet
300.0 gram,5 lbs
7.2 centimetre,12 inches
2800.0 millilitre,1. 5
86.46 inch,10 inches
605.0 millimetre,6 inches
1.76 fluid ounce,10 oz
240.0 gram,200 lbs
2.0 kilogram,100 lbs
57.0 gram,10 lbs
5.0 millilitre,3
240.0 watt,4. 5
1600.0 millimetre,6 inches
33.0 cubic inch,1. 5
101.6 centimetre,8 feet
20.0 milligram,1. 5 lbs
10.0 centimetre,10 inches
12.4 inch,6 inches
350 gram,10 lbs
16.0 fluid ounce,4. 5
5.0 centimetre,6 inches
40.0 centimetre,6 inches
25.0 millimetre,15 inches
34.5 inch,5 feet
130.0 millimetre,10 inches
20.0 watt,15. 5
9.5 gram,92. 5
85.0 gram,100 lbs
3.8 inch,12 inches
250 milligram,200 lbs
4.0 fluid ounce,4
17.0 inch,12 inches
48.0 volt,45
5.0 volt,0
182.0 millimetre,10 inches
350.0 gram,300 lbs
9.05 inch,6 inches
1.0 ounce,1 ton
4.0 inch,8 inches
44.5 gram,100 lbs
24.0 watt,2000
60 gram,1. 5 lbs
350.0 gram,350 ml
31.0 centimetre,10 inches
15.0 centimetre,6 inches
12.0 gram,20 lbs
5.9 inch,6 inches
793.0 gram,10 oz
120.0 inch,10 feet
100 gram,10 lbs
16.0 inch,10 inches
25.0 millimetre,6 inches
10.0 gram,100 lbs
34.0 gram,10 lbs
3.4 gram,200 pounds
47.2 inch,4 feet
3.5 inch,6 inches
400 gram,1. 5 tons
27.0 centimetre,12 inches
1.0 gram,10 oz
8.8 centimetre,6 inches
2000.0 milligram,200 lbs
9.4 centimetre,6 inches
18.0 centimetre,6 feet
50.0 millilitre,10
2019.0 gram,10 lbs
10.2 inch,10 inches
3.0 inch,6 inches
117.0 centimetre,6 inches
170.0 centimetre,12 inches
2.75 inch,6 inches
400 gram,10 oz
38.0 millimetre,6 inches
4.5 millimetre,6 inches
106.0 centimetre,10 inches
9.0 gram,1. 5 lbs
3.54 inch,3 inches
52.0 inch,6 inches
18 kilogram,10 lbs
50.0 gram,10 lbs
86.0 watt,3. 5
5.0 gram,1. 5 lbs
13.0 centimetre,12 inches
14.0 centimetre,6 inches
3.0 volt,0
153.0 millimetre,15 inches
55.0 pound,10 lbs
9.0 centimetre,12 inches
300.0 gram,10 lbs
5 gram,5 pounds
300 gram,10 lbs
9.5 centimetre,6 inches
115.0 centimetre,10 inches
70.0 gram,200 lbs
1.0 inch,12 inches
120.0 centimetre,10 feet
73.0 gram,1000 lbs
5.43 inch,6 inches
28.0 centimetre,6 inches
40.0 inch,10 inches
19.0 centimetre,6 inches
14.5 centimetre,12 inches
3.0 millimetre,4 feet
0.5 gram,10 lbs
50.0 gram,5 lbs
53.0 inch,6 inches
10.0 watt,2000
60.0 centimetre,15 inches
639.0 pound,10 lbs
7.0 gram,10 pounds
7.8 inch,6 inches
14.0 centimetre,10 inches
25 gram,10 oz
4.5 centimetre,6 inches
8.0 gram,10 lbs
6.7 centimetre,6 inches
180.0 gram,100 lbs
5.5 centimetre,15 inches
35.4 inch,6 inches
500 gram,10 lbs
6.56 inch,6 inches
5.5 millimetre,6 feet
11.81 inch,12 inches
14.0 ounce,10 lbs
2.0 pound,0. 55
0.18 ounce,10 lbs
575.0 gram,5 lbs
300.0 gram,10 oz
39.0 centimetre,6 inches
20.0 inch,10 inches
31.5 inch,10 feet
2.9 kilogram,3 tons
200.0 gram,100 lbs
47.0 millimetre,10 feet
3.42 inch,6 inches
32.0 millimetre,6 inches
100 gram,10 lbs
3 kilogram,100 lbs
16.5 centimetre,6 feet
500 gram,10 lbs
200 gram,200 lbs
150.0 gram,100 lbs
500.0 gram,10 lbs
1.0 millilitre,10 oz
5.0 centimetre,6 inches
25.0 gram,10 pounds
2400.0 millilitre,2
8.0 pound,100 lbs
125 gram,10 oz
3.0 ounce,12 oz
5.9 inch,6 inches
35.0 centimetre,10 feet
40.0 inch,6 inches
100 gram,10 oz
246.0 millimetre,6 inches
3.0 kilogram,10 oz
9.0 centimetre,6 inches
10.4 centimetre,10 inches
13.1 inch,3 feet
6.0 inch,12 inches
10.2 inch,12 inches
15 gram,1. 5 lbs
88 gram,100 lbs
36.0 inch,12 inches
16.2 centimetre,6 inches
1.51 kilogram,10 lbs
1.4 inch,12 inches
29.0 centimetre,12 inches
0.65 kilogram,10 lbs
100.0 gram,100 lbs
12.5 centimetre,6 inches
40.0 kilogram,10 lbs
1.2 pound,10 lbs
30.0 gram,40 cm
7.6 centimetre,6 inches
25.0 millimetre,5 feet
44.0 gram,10 pounds
240.0 millilitre,1. 5
105 kilogram,100 lbs
3.3 inch,6 inches
155.0 centimetre,6 inches
"[220.0, 240.0] volt",110 volt
13.5 centimetre,10 inches
19.68 inch,12 inches
8.5 inch,12 inches
5.0 gram,1. 5 kg
0.39 pound,150 lbs
7.2 gram,200 lbs
9.0 ounce,10 oz
3.0 inch,3 inches
600.0 gram,600
10.0 inch,10 inches
51 gram,500 lbs
30.0 gram,10 lbs
40.0 millimetre,6 inches
7.3 centimetre,6 inches
13.0 gram,100 lbs
33.0 pound,3 tons
3523.0 gram,10 lbs
5.5 centimetre,10 inches
15.0 centimetre,10 inches
48.0 volt,0
0.86 pound,10 lbs
75.0 centimetre,10 feet
1 kilogram,100 lbs
21.0 centimetre,12 inches
2.0 fluid ounce,15
50.0 centimetre,6 inches
1.0 ounce,10 lbs
15.0 inch,6 inches
46.0 fluid ounce,10 oz
32.0 inch,5 feet
63 gram,100 lbs
2.4 gram,300 lbs
130.0 gram,100 lbs
20.0 gram,10 lbs
108.0 inch,6 inches
250 gram,200 lbs
3.6 centimetre,10 inches
45.0 inch,5 feet
32.0 ounce,1. 5 lbs
26.0 kilogram,200 lbs
150.0 centimetre,6 feet
0.88 pound,10 oz
240.0 watt,350
4.5 inch,6 inches
200.0 milligram,200 lbs
24.6 gram,60 lbs
4.0 gram,100 pounds
83.62 inch,6 feet
400 gram,10 lbs
14.6 centimetre,10 inches
8.8 ounce,5 pounds
4.0 inch,2 inches
11.0 ton,0
1.5 centimetre,5 feet
23.0 gram,5 pounds
37.0 inch,6 inches
30.0 inch,10 inches
0.1 watt,2000
3.15 inch,3 feet
199.0 gram,0
35.9 volt,55
142.0 millimetre,6 inches
80.0 centimetre,6 feet
9.0 centimetre,10 inches
3.35 inch,6 feet
14.7 gram,10 lbs
1.65 pound,10 lbs
50 gram,200 lbs
13.0 millimetre,8 inches
6.5 centimetre,6 inches
40.0 centimetre,10 inches
79.0 centimetre,6 inches
108.0 centimetre,10 feet
48.0 inch,10 inches
15.0 watt,10. 5
10.0 inch,6 inches
47.0 inch,12 inches
6.0 inch,10 inches
3000.0 gram,300 lbs
350.0 millimetre,6 inches
9.84 centimetre,6 inches
2 gram,10 lbs
8.5 inch,tall
4.0 gram,10 oz
13.0 centimetre,12 inches
50.0 centimetre,12 inches
170.0 millimetre,10 inches
70.0 centimetre,6 inches
1.13 ounce,10 lbs
34.0 centimetre,6 inches
10.5 inch,12 inches
124.0 millimetre,4 inches
7.0 centimetre,6 inches
2.0 pound,100 lbs
1.0 kilogram,10 lbs
50.0 centimetre,10 feet
6.1 centimetre,6 feet
132.0 millimetre,6 inches
50.0 centimetre,6 inches
5.0 ounce,10 oz
22.0 gram,200 lbs
55.0 centimetre,10 inches
700.0 milligram,100 lbs
60.0 centimetre,6 inches
136.68 pound,100 lbs
2.75 inch,6 inches
14.5 inch,12 inches
450.0 millilitre,6
11.5 centimetre,12 inches
6.5 centimetre,12 inches
250 gram,200 lbs
22.2 centimetre,12 inches
100.0 gram,100 lbs
100 gram,1. 5 tons
21.0 centimetre,12 inches
16.5 centimetre,10 inches
43 gram,10 oz
148.0 gram,10 lbs
112.5 gram,30 lbs
750.0 watt,25 mpg
101.0 millimetre,6 inches
11.6 centimetre,8 feet
905 gram,10 oz
7.0 centimetre,10 feet
42 gram,10 oz
117.0 millimetre,6 inches
184.0 gram,1. 5 kg
19.0 centimetre,6 inches
12.0 volt,0
100 gram,100 lbs
5.0 gram,350 lbs
0.63 inch,6 inches
24.0 pound,10 lbs
22.0 gram,100 lbs
31.5 centimetre,6 inches
1000.0 kilogram,10 lbs
60.0 volt,0
29.0 centimetre,6 inches
175.0 millimetre,3 feet
20.0 centimetre,10 inches
0.5 inch,10 feet
13.0 centimetre,12 inches
6.3 inch,12 inches
53.0 centimetre,6 inches
3.38 fluid ounce,5 lbs
50.0 centimetre,10 feet
4.0 gram,1. 5 lbs
"[9.5, 10.5] ounce",45 cm
14.17 inch,4 inches
1.0 pound,10 lbs
35.0 centimetre,6 inches
14.7 centimetre,6 inches
50 gram,5 lbs
2.4 litre,6 ounces
